# 99999: TNS Failure! Needs manual TNS
# 124: Not enough filters to fit!
# 107: SALT3 couldn't fit with current parameter selection!
# 434: SALT3: No data points with S/N > 5.0!
# 222: GHOST failed to initiate!
# 333: GHOST failed to find mass!
# 404: Unknown fitting error!
source;99999;124;107;434;222;333;404
SNPY_91BG_CSP;[];[];[];[];[];['2006mr', '2007ax'];[]

SNPY_91BG_ATLAS;[];['2024xdl', '2019so', '2022zsp', '2022an', '2024wdg', '2024jih', '2020aejj', '2024jgw', '2017avj', '2016eqa', '2024ulb', '2024xhs', '2025nn'];[];[];[];['2024pkh', '2024pbd', '2024stt'];[]

SNPY_91BG_ZTF;[];['2016iuh', '2017fzw', '2023ex', '2016ije', '2016brx'];[];[];[];['2018ast'];[]

SNPY_91BG_COMBINED;[];['2018awi', '2020aclx', '2023omo', '2020ais', '2023yrs'];[];[];[];['2023acdv', '2022xkq', '2022ihz', '2021jbp'];[]

SALT_91BG_CSP;[];[];['2007ax'];[];[];['2006mr'];[]

SALT_91BG_ATLAS;[];['2024rkh', '2020dq', '2024pkh', '2019so', '2024luo', '2016brv', '2017hle', '2022uxl', '2024abwg', '2024zls', '2022zsp', '2024pbd', '2024wdg', '2024nev', '2024lhg', '2024jih', '2020aejj', '2024jgw', '2024zaj', '2024yhg', '2017avj', '2018efn', '2024vcj', '2024jhk', '2016eqa', '2022ywc', '2022vse', '2024stt', '2023jah', '2021qvv', '2025nn'];[];[];[];['2022an'];[]

SALT_91BG_ZTF;[];['2016iuh', '2017fzw', '2023ex', '2016ije', '2016brx'];[];[];[];['2021zqs', '2018ast', '2020yo', '2021afur', '2022zvu', '2020vae', '2018lph'];[]

SALT_91BG_COMBINED;[];['2018awi', '2020ais'];['2022omn', '2022dsu', '2023abdv', '2023fwb', '2021fnr', '2019luv', '2022kbc', '2019cdc', '2022oux', '2021zsz', '2021abzd', '2019noh', '2018ame', '2022aecb', '2021xfm', '2023fot', '2021pom', '2022ubt', '2020abpe', '2023acdv', '2022xkq', '2024bjb', '2020aclx', '2021agnf', '2023dk', '2022yv', '2022xhh', '2023cvq', '2020mfd', '2024fid', '2018ciw', '2023bhm', '2019moq', '2019op', '2018gro', '2023omo', '2022ihz', '2021cad', '2019cp', '2020nta', '2020acoo', '2019ecx', '2022rjs', '2021qqr', '2021twa', '2023yrs', '2022rey', '2020acbx', '2022abom', '2019be', '2021uef', '2018hkw', '2022xnq', '2018eyi', '2022skw', '2020abmg', '2023vjh', '2021wzb', '2021jvp', '2022vxf', '2022aaok', '2021agej', '2021aare', '2021bls', '2021uve', '2021bmu', '2022bsi', '2022fjx', '2021gel'];[];[];['2023mkp', '2021mab', '2018jag', '2019exc', '2021jbp', '2019ahh'];[]

SNPY_NORM_CSP;[];[];[];[];[];['2005bo', '2007bm', '2008hv', '2006D', '2007le', '2007af', '2008fl', '2004eo', '2008ia', '2007on', '2007as', '2008cd', '2008bc', '2007sr', '2006bh', '2008cc', '2007st', '2009ds', '2006ax', '2008R', '2009ag', '2006X', '2006dd', '2009cz', '2005al', '2009aa', '2008fp', '2009le', '2008ff'];[]

